,index,datapoints [#],time [s],frequency [Hz],Z_real [Ohm],Z_imag [Ohm],Z_sig [V],Zmod [ohm],Z_phz [°C],I_DC [A],V_DC [V],IE_Range [#]
55,,56.0,88.914059,89.285713,0.011343,-0.001747,0.011476,-8.757052,,,,
56,,57.0,79.244739,79.44915,0.011482,-0.001739,0.011613,-8.614346,,,,
57,,58.0,70.626948,70.488724,0.011696,-0.001707,0.01182,-8.302369,,,,
58,,59.0,62.946334,62.919464,0.011736,-0.001676,0.011855,-8.126394,,,,
59,,60.0,56.100979,55.80357,0.011994,-0.001667,0.012109,-7.912017,,,,
60,,61.0,50.00005,49.86702,0.012122,-0.001564,0.012223,-7.349444,,,,
61,,62.0,44.562591,44.642857,0.012196,-0.001576,0.012297,-7.361416,,,,
62,,63.0,39.716451,39.724575,0.012318,-0.001466,0.012405,-6.787071,,,,
63,,64.0,35.397325,35.511364,0.01239,-0.001429,0.012472,-6.58097,,,,
64,,65.0,31.547899,31.459732,0.012487,-0.001382,0.012563,-6.31531,,,,
65,,66.0,28.117094,28.237951,0.012547,-0.001305,0.012615,-5.936341,,,,
66,,67.0,25.059387,24.93351,0.012737,-0.001287,0.012802,-5.768584,,,,
67,,68.0,22.334202,22.321428,0.012751,-0.001227,0.01281,-5.497108,,,,
68,,69.0,19.905378,19.862288,0.01281,-0.001205,0.012866,-5.373802,,,,
69,,70.0,17.740687,17.755682,0.012967,-0.001145,0.013017,-5.046948,,,,
70,,71.0,15.811404,15.782828,0.012945,-0.001163,0.012998,-5.135163,,,,
71,,72.0,14.091929,14.118976,0.013064,-0.001111,0.013111,-4.862989,,,,
72,,73.0,12.559445,12.600806,0.013116,-0.001177,0.013169,-5.126242,,,,
73,,74.0,11.193617,11.160714,0.013211,-0.001082,0.013256,-4.682025,,,,
74,,75.0,9.976322,9.973404,0.013259,-0.001113,0.013306,-4.79812,,,,
75,,76.0,8.891406,8.877841,0.01344,-0.001011,0.013478,-4.302958,,,,
76,,77.0,7.924474,7.878151,0.013489,-0.001009,0.013527,-4.276888,,,,
77,,78.0,7.062695,7.059488,0.013621,-0.001031,0.01366,-4.327937,,,,
78,,79.0,6.294633,6.2751,0.013689,-0.000964,0.013723,-4.026397,,,,
79,,80.0,5.610098,5.580357,0.013702,-0.000896,0.013732,-3.741119,,,,
80,,81.0,5.000005,5.013369,0.013778,-0.000851,0.013805,-3.535299,,,,
81,,82.0,4.456259,4.451567,0.013935,-0.000769,0.013956,-3.15683,,,,
82,,83.0,3.971645,3.985969,0.013869,-0.000696,0.013886,-2.871675,,,,
83,,84.0,3.539732,3.529744,0.013988,-0.000601,0.014001,-2.461168,,,,
84,,85.0,3.15479,3.13755,0.014046,-0.000502,0.014055,-2.044803,,,,
85,,86.0,2.811709,2.823795,0.014077,-0.000435,0.014084,-1.769432,,,,
86,,87.0,2.505939,2.516103,0.014082,-0.000389,0.014088,-1.581789,,,,
87,,88.0,2.23342,2.225784,0.014081,-0.000337,0.014086,-1.371402,,,,
88,,89.0,1.990538,1.99553,0.014114,-0.000258,0.014116,-1.049066,,,,
89,,90.0,1.774069,1.775568,0.014064,-0.00017,0.014065,-0.694143,,,,
90,,91.0,1.58114,1.583615,0.014132,-0.000123,0.014132,-0.499813,,,,
91,,92.0,1.409193,1.411472,0.014129,-8.816431e-05,0.01413,-0.357511,,,,
92,,93.0,1.255944,1.258052,0.014076,6.492629e-06,0.014076,0.026428,,,,
93,,94.0,1.119362,1.112892,0.013993,1.25004e-06,0.013993,0.005118,,,,
94,,95.0,0.997632,0.997765,0.013979,0.000104,0.01398,0.425791,,,,
95,,96.0,0.889141,0.890313,0.013984,0.000134,0.013985,0.549427,,,,
96,,97.0,0.792447,0.792745,0.013957,0.000207,0.013959,0.8477,,,,
97,,98.0,0.706269,0.705736,0.013876,0.00021,0.013877,0.868666,,,,
98,,99.0,0.629463,0.63004,0.013842,0.000255,0.013844,1.055085,,,,
99,,100.0,0.56101,0.563401,0.013798,0.000295,0.013801,1.22611,,,,
100,,101.0,0.500001,0.500801,0.013739,0.000323,0.013743,1.348254,,,,
101,,102.0,0.445626,0.447281,0.013738,0.000341,0.013742,1.422512,,,,
102,,103.0,0.397165,0.398597,0.013638,0.000374,0.013643,1.572606,,,,
103,,104.0,0.353973,0.355114,0.013579,0.000426,0.013586,1.795669,,,,
104,,105.0,0.315479,0.316723,0.013541,0.000399,0.013547,1.687461,,,,
105,,106.0,0.281171,0.281701,0.013459,0.000428,0.013466,1.823365,,,,
106,,107.0,0.250594,0.251475,0.01338,0.000437,0.013387,1.870358,,,,
107,,108.0,0.223342,0.22364,0.013334,0.000461,0.013342,1.979862,,,,
108,,109.0,0.199054,0.199298,0.01326,0.000477,0.013268,2.062092,,,,
109,,110.0,0.177407,0.177557,0.013213,0.000471,0.013222,2.043684,,,,
110,,111.0,0.158114,0.158361,0.013122,0.000477,0.013131,2.08124,,,,
111,,112.0,0.140919,0.14119,0.013057,0.000493,0.013067,2.164458,,,,
112,,113.0,0.125594,0.125738,0.012975,0.000508,0.012985,2.240401,,,,
113,,114.0,0.111936,0.112034,0.012889,0.000491,0.012899,2.18051,,,,
