,index,datapoints [#],time [s],frequency [Hz],Z_real [Ohm],Z_imag [Ohm],Z_sig [V],Zmod [ohm],Z_phz [°C],I_DC [A],V_DC [V],IE_Range [#]
35,,36.0,889.140594,885.416687,0.008943,-0.00101,0.009,-6.442694,,,,
36,,37.0,792.447389,790.028076,0.009008,-0.001064,0.009071,-6.734321,,,,
37,,38.0,706.269479,708.575562,0.009075,-0.00112,0.009143,-7.033802,,,,
38,,39.0,629.463335,628.810974,0.009161,-0.001181,0.009236,-7.34581,,,,
39,,40.0,561.009788,560.461975,0.00924,-0.001247,0.009324,-7.685657,,,,
40,,41.0,500.0005,502.232147,0.009325,-0.001315,0.009417,-8.027894,,,,
41,,42.0,445.625915,444.078949,0.009427,-0.001386,0.009528,-8.362222,,,,
42,,43.0,397.164515,395.331329,0.009532,-0.001451,0.009642,-8.654675,,,,
43,,44.0,353.973246,352.822571,0.009637,-0.00152,0.009756,-8.963338,,,,
44,,45.0,315.478988,315.504822,0.009749,-0.001584,0.009877,-9.231683,,,,
45,,46.0,281.170944,282.379517,0.009872,-0.001654,0.010009,-9.510165,,,,
46,,47.0,250.593867,249.335114,0.010016,-0.00172,0.010163,-9.745855,,,,
47,,48.0,223.342019,223.214279,0.010155,-0.001787,0.010311,-9.981989,,,,
48,,49.0,199.053784,198.622879,0.010313,-0.001844,0.010476,-10.138346,,,,
49,,50.0,177.406872,177.556824,0.010467,-0.001895,0.010637,-10.262946,,,,
50,,51.0,158.114041,158.005615,0.010636,-0.001946,0.010813,-10.368564,,,,
51,,52.0,140.919287,140.625,0.010819,-0.001984,0.010999,-10.392348,,,,
52,,53.0,125.594447,125.558037,0.011,-0.002009,0.011182,-10.351406,,,,
53,,54.0,111.936169,111.60714,0.011183,-0.002032,0.011366,-10.300424,,,,
54,,55.0,99.763216,99.734039,0.011384,-0.002048,0.011566,-10.199695,,,,
55,,56.0,88.914059,89.285713,0.01155,-0.002047,0.01173,-10.052039,,,,
56,,57.0,79.244739,79.44915,0.011726,-0.00201,0.011897,-9.728614,,,,
57,,58.0,70.626948,70.488724,0.011971,-0.001981,0.012134,-9.395082,,,,
58,,59.0,62.946334,62.919464,0.012101,-0.001924,0.012253,-9.03414,,,,
59,,60.0,56.100979,55.80357,0.012357,-0.001874,0.012499,-8.623226,,,,
60,,61.0,50.00005,49.86702,0.012382,-0.001896,0.012527,-8.703971,,,,
61,,62.0,44.562591,44.642857,0.012565,-0.001828,0.012697,-8.277512,,,,
62,,63.0,39.716451,39.724575,0.012732,-0.00172,0.012847,-7.695905,,,,
63,,64.0,35.397325,35.511364,0.012866,-0.00164,0.01297,-7.263473,,,,
64,,65.0,31.547899,31.459732,0.012962,-0.001603,0.01306,-7.047974,,,,
65,,66.0,28.117094,28.237951,0.013047,-0.001519,0.013135,-6.642633,,,,
66,,67.0,25.059387,24.93351,0.013172,-0.001454,0.013253,-6.30062,,,,
67,,68.0,22.334202,22.321428,0.013226,-0.001449,0.013306,-6.251614,,,,
68,,69.0,19.905378,19.862288,0.013278,-0.001424,0.013355,-6.122732,,,,
69,,70.0,17.740687,17.755682,0.013416,-0.001325,0.013481,-5.639657,,,,
70,,71.0,15.811404,15.782828,0.013449,-0.001335,0.013515,-5.670623,,,,
71,,72.0,14.091929,14.118976,0.013588,-0.001279,0.013648,-5.376654,,,,
72,,73.0,12.559445,12.600806,0.013662,-0.001286,0.013722,-5.375561,,,,
73,,74.0,11.193617,11.160714,0.013718,-0.00127,0.013777,-5.290747,,,,
74,,75.0,9.976322,9.973404,0.013838,-0.001223,0.013892,-5.049638,,,,
75,,76.0,8.891406,8.877841,0.014038,-0.001209,0.01409,-4.920736,,,,
76,,77.0,7.924474,7.878151,0.01406,-0.001168,0.014109,-4.75051,,,,
77,,78.0,7.062695,7.059488,0.014162,-0.001172,0.014211,-4.732558,,,,
78,,79.0,6.294633,6.2751,0.014287,-0.001056,0.014326,-4.225322,,,,
79,,80.0,5.610098,5.580357,0.014365,-0.000973,0.014398,-3.874398,,,,
80,,81.0,5.000005,5.013369,0.014446,-0.000923,0.014475,-3.657377,,,,
81,,82.0,4.456259,4.451567,0.014536,-0.000844,0.01456,-3.324293,,,,
82,,83.0,3.971645,3.985969,0.014586,-0.000796,0.014607,-3.125507,,,,
83,,84.0,3.539732,3.529744,0.014614,-0.000684,0.01463,-2.680703,,,,
84,,85.0,3.15479,3.13755,0.014686,-0.000606,0.014698,-2.362903,,,,
85,,86.0,2.811709,2.823795,0.014689,-0.000523,0.014699,-2.040887,,,,
86,,87.0,2.505939,2.516103,0.014745,-0.000498,0.014753,-1.934034,,,,
87,,88.0,2.23342,2.225784,0.01475,-0.000318,0.014754,-1.23681,,,,
88,,89.0,1.990538,1.99553,0.014761,-0.000293,0.014764,-1.136783,,,,
89,,90.0,1.774069,1.775568,0.014754,-0.000222,0.014756,-0.862847,,,,
90,,91.0,1.58114,1.583615,0.014736,-0.000139,0.014737,-0.540442,,,,
91,,92.0,1.409193,1.411472,0.014726,-0.000118,0.014726,-0.460065,,,,
92,,93.0,1.255944,1.258052,0.014693,-5.003763e-05,0.014693,-0.19512,,,,
93,,94.0,1.119362,1.112892,0.014693,2.751818e-05,0.014693,0.107305,,,,
94,,95.0,0.997632,0.997765,0.014648,3.342891e-05,0.014648,0.130756,,,,
95,,96.0,0.889141,0.890313,0.014605,9.84193e-05,0.014605,0.386094,,,,
96,,97.0,0.792447,0.792745,0.014591,0.000116,0.014591,0.455055,,,,
97,,98.0,0.706269,0.705736,0.014543,0.000185,0.014545,0.73064,,,,
98,,99.0,0.629463,0.63004,0.014492,0.000222,0.014494,0.875705,,,,
99,,100.0,0.56101,0.563401,0.014432,0.000234,0.014434,0.928916,,,,
100,,101.0,0.500001,0.500801,0.014391,0.000279,0.014394,1.109055,,,,
101,,102.0,0.445626,0.447281,0.014345,0.000297,0.014349,1.185362,,,,
102,,103.0,0.397165,0.398597,0.014276,0.000307,0.014279,1.232518,,,,
103,,104.0,0.353973,0.355114,0.014216,0.000321,0.01422,1.295031,,,,
104,,105.0,0.315479,0.316723,0.01416,0.000365,0.014165,1.475711,,,,
105,,106.0,0.281171,0.281701,0.014103,0.000387,0.014108,1.571411,,,,
106,,107.0,0.250594,0.251475,0.014053,0.000389,0.014058,1.585413,,,,
107,,108.0,0.223342,0.22364,0.013975,0.000416,0.013981,1.704809,,,,
108,,109.0,0.199054,0.199298,0.013914,0.000416,0.01392,1.713092,,,,
109,,110.0,0.177407,0.177557,0.013845,0.00044,0.013852,1.818905,,,,
110,,111.0,0.158114,0.158361,0.013794,0.000471,0.013802,1.955507,,,,
111,,112.0,0.140919,0.14119,0.013722,0.000469,0.01373,1.956909,,,,
112,,113.0,0.125594,0.125738,0.013743,0.000502,0.013752,2.093901,,,,
113,,114.0,0.111936,0.112034,0.013624,0.000505,0.013633,2.123876,,,,
